"","name","sq_mi","X","adm1","iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"127","Connecticut","5,543",127,7,"USA",2001,818.467207695719,251716.485043465
"128","Connecticut","5,543",128,7,"USA",2020,1274.55832887757,507717.838668964
"129","Connecticut","5,543",129,7,"USA",2009,604.205950245725,217469.2994137
"130","Connecticut","5,543",130,7,"USA",2004,1117.56081450893,372627.674529929
"131","Connecticut","5,543",131,7,"USA",2005,1240.73570591022,422004.629322577
"132","Connecticut","5,543",132,7,"USA",2010,946.817494674006,344309.77847828
"133","Connecticut","5,543",133,7,"USA",2003,673.481800282799,218950.355695115
"134","Connecticut","5,543",134,7,"USA",2008,949.269803150012,332154.545721914
"135","Connecticut","5,543",135,7,"USA",2013,586.403948568118,215631.88898332
"136","Connecticut","5,543",136,7,"USA",2007,1004.23637221658,344784.945120475
"137","Connecticut","5,543",137,7,"USA",2006,1356.69863614266,466554.91874289
"138","Connecticut","5,543",138,7,"USA",2011,500.407878208548,183071.763076055
"139","Connecticut","5,543",139,7,"USA",2002,1029.67024382955,327291.958081361
"140","Connecticut","5,543",140,7,"USA",2012,775.144959647552,293661.875137508
"141","Delaware","2,489",141,8,"USA",2005,928.748452402974,332061.162981118
"142","Delaware","2,489",142,8,"USA",2020,605.859464871734,292581.248414595
"143","Delaware","2,489",143,8,"USA",2009,552.962707812982,213765.817971706
"144","Delaware","2,489",144,8,"USA",2013,433.682697029533,177066.827760681
"145","Delaware","2,489",145,8,"USA",2001,1204.60218155927,380861.481029863
"146","Delaware","2,489",146,8,"USA",2017,724.837858085887,310276.08892805
"147","Delaware","2,489",147,8,"USA",2003,444.972854429087,147342.921772557
"148","Delaware","2,489",148,8,"USA",2002,678.166812688574,223415.922038415
"149","Delaware","2,489",149,8,"USA",2010,603.314353149361,230681.695523445
"150","Delaware","2,489",150,8,"USA",2006,846.90213155308,304989.68912086
"151","Delaware","2,489",151,8,"USA",2011,348.042388751709,138946.453252947
"152","Delaware","2,489",152,8,"USA",2018,616.9307727253,287432.914855842
"153","Delaware","2,489",153,8,"USA",2007,960.505559923721,355239.361849722
"154","Delaware","2,489",154,8,"USA",2014,618.923979187478,268454.105548691
"155","Delaware","2,489",155,8,"USA",2019,858.776546505821,434014.202297396
"156","Delaware","2,489",156,8,"USA",2008,539.473535625258,205736.018277377
"157","Delaware","2,489",157,8,"USA",2015,624.76244761287,261197.210056974
"158","Delaware","2,489",158,8,"USA",2012,682.749284698628,274115.077532857
"159","Delaware","2,489",159,8,"USA",2016,860.850670861043,373604.604465717
"160","Delaware","2,489",160,8,"USA",2004,1194.62930766621,407771.880958682
"161","District of Columbia","68",161,9,"USA",2011,2.70941149089616,962.165971984633
"162","District of Columbia","68",162,9,"USA",2015,2.04667640626742,566.272937739339
"163","District of Columbia","68",163,9,"USA",2006,7.22071240091156,1724.08239968525
"164","District of Columbia","68",164,9,"USA",2014,0.962651876712279,316.103432331697
"165","District of Columbia","68",165,9,"USA",2018,0.240801309036462,86.8467335150077
"166","District of Columbia","68",166,9,"USA",2004,1.74574709816196,524.571374743408
"167","District of Columbia","68",167,9,"USA",2020,0.240732986230455,53.5978848685212
"168","District of Columbia","68",168,9,"USA",2016,5.8379482297162,2047.59551840344
"169","District of Columbia","68",169,9,"USA",2005,1.74592561446195,367.75069692365
"170","District of Columbia","68",170,9,"USA",2001,1.08333660101564,173.594640027916
"171","District of Columbia","68",171,9,"USA",2009,1.74491089226987,662.855508949748
"172","District of Columbia","68",172,9,"USA",2003,0.601834479652761,147.806559951983
"173","District of Columbia","68",173,9,"USA",2002,1.62646717754132,488.586632308428
"174","District of Columbia","68",174,9,"USA",2019,4.63629245426625,1875.37573975746
"175","District of Columbia","68",175,9,"USA",2017,2.2872409571919,606.056627563756
"176","District of Columbia","68",176,9,"USA",2008,3.49031570185097,1026.28787067519
"177","District of Columbia","68",177,9,"USA",2010,9.09398505324858,3005.71758349609
"178","District of Columbia","68",178,9,"USA",2012,10.7110472632365,3086.0435752538
"179","District of Columbia","68",179,9,"USA",2007,1.26372474881079,435.339003747053
"180","Florida","65,758",180,10,"USA",2020,66127.9025577651,30171623.6234173
"181","Florida","65,758",181,10,"USA",2009,84790.9576661978,27996937.2501845
"182","Florida","65,758",182,10,"USA",2016,89665.423508913,39977587.746126
"183","Florida","65,758",183,10,"USA",2013,85146.7267304434,32412874.2270917
"184","Florida","65,758",184,10,"USA",2017,118550.721343058,53365665.1427143
"185","Florida","65,758",185,10,"USA",2018,114160.557987922,51565168.4785119
"186","Florida","65,758",186,10,"USA",2002,91602.6420448121,25705913.2500175
"187","Florida","65,758",187,10,"USA",2005,107954.385768418,31890671.3798894
"188","Florida","65,758",188,10,"USA",2006,118229.253465267,35944981.2296586
"189","Florida","65,758",189,10,"USA",2001,105685.966063168,28251015.5130225
"190","Florida","65,758",190,10,"USA",2004,115736.7919248,33466523.1141864
"191","Florida","65,758",191,10,"USA",2007,111744.196435515,33961714.4247313
"192","Florida","65,758",192,10,"USA",2014,76683.6928208064,32091830.0590532
"193","Florida","65,758",193,10,"USA",2003,93854.9642160584,27153587.5569955
"194","Florida","65,758",194,10,"USA",2008,101176.271619228,32415728.6712492
"195","Florida","65,758",195,10,"USA",2015,71991.2387339459,32148685.9990571
"196","Florida","65,758",196,10,"USA",2010,92909.2639169796,31744626.6886332
"197","Florida","65,758",197,10,"USA",2011,87923.1638511613,30937974.3955555
"198","Florida","65,758",198,10,"USA",2012,115149.80548585,42363570.487674
"199","Florida","65,758",199,10,"USA",2019,103555.127061385,48051625.8803204
"200","Georgia","59,425",200,11,"USA",2013,148510.232736798,68692451.9641468
"201","Georgia","59,425",201,11,"USA",2002,160671.988145974,52556835.9590227
"202","Georgia","59,425",202,11,"USA",2006,185349.005226343,68289602.5160925
"203","Georgia","59,425",203,11,"USA",2018,150175.61563455,81816528.5749162
"204","Georgia","59,425",204,11,"USA",2007,200104.016189148,72505872.0326265
"205","Georgia","59,425",205,11,"USA",2014,159348.041055261,76759912.3932868
"206","Georgia","59,425",206,11,"USA",2019,147007.664212691,80341860.2476483
"207","Georgia","59,425",207,11,"USA",2009,130373.188969685,52194463.2443658
"208","Georgia","59,425",208,11,"USA",2004,174783.467582713,61183495.8518886
"209","Georgia","59,425",209,11,"USA",2012,194741.028562036,81414181.919935
"210","Georgia","59,425",210,11,"USA",2016,173459.032365993,90160963.2963117
"211","Georgia","59,425",211,11,"USA",2011,182227.212042876,72102156.8319919
"212","Georgia","59,425",212,11,"USA",2001,164231.664667241,51237000.959853
"213","Georgia","59,425",213,11,"USA",2020,122622.775757183,69032480.3135919
"214","Georgia","59,425",214,11,"USA",2015,143697.087621679,73767941.2408501
"215","Georgia","59,425",215,11,"USA",2005,172087.366438755,61583810.8560881
"216","Georgia","59,425",216,11,"USA",2010,166734.10705245,67972915.7272186
"217","Georgia","59,425",217,11,"USA",2017,220051.48762329,119329392.948287
"218","Georgia","59,425",218,11,"USA",2003,140568.567556616,47561724.498939
"219","Georgia","59,425",219,11,"USA",2008,171906.112399431,66697815.0476594
"220","Hawaii","10,932",220,12,"USA",2005,616.555857100043,249768.980983368
"221","Hawaii","10,932",221,12,"USA",2014,1083.61274337636,523460.989755482
"222","Hawaii","10,932",222,12,"USA",2009,467.550519570396,222249.958006664
"223","Hawaii","10,932",223,12,"USA",2013,435.43996831878,190033.634419575
"224","Hawaii","10,932",224,12,"USA",2002,699.971343258222,273395.29293709
"225","Hawaii","10,932",225,12,"USA",2016,1691.18847101727,774982.83694159
"226","Hawaii","10,932",226,12,"USA",2017,1219.28876442015,566946.234537876
"227","Hawaii","10,932",227,12,"USA",2020,856.74867112511,415395.89637745
"228","Hawaii","10,932",228,12,"USA",2018,2156.95436035256,1111440.75734286
"229","Hawaii","10,932",229,12,"USA",2010,571.365528706634,246827.640968225
"230","Hawaii","10,932",230,12,"USA",2006,501.837942364939,208380.76301765
"231","Hawaii","10,932",231,12,"USA",2003,866.937867016653,315455.586820923
"232","Hawaii","10,932",232,12,"USA",2001,626.539166479727,233980.662700811
"233","Hawaii","10,932",233,12,"USA",2007,822.796691086049,340938.265874374
"234","Hawaii","10,932",234,12,"USA",2019,1201.90551250631,594849.730454662
"235","Hawaii","10,932",235,12,"USA",2011,268.03448271257,119376.790752083
"236","Hawaii","10,932",236,12,"USA",2008,661.378058367845,314283.969935719
"237","Hawaii","10,932",237,12,"USA",2015,1817.72971522097,848056.986379087
"238","Hawaii","10,932",238,12,"USA",2012,899.37280334191,401472.962453661
"239","Hawaii","10,932",239,12,"USA",2004,727.590931292585,298655.624632829
"240","Idaho","83,569",240,13,"USA",2017,80541.2550912584,27304889.4017008
"241","Idaho","83,569",241,13,"USA",2013,80825.4863837931,23455433.5728479
"242","Idaho","83,569",242,13,"USA",2002,32386.5537259318,12146951.4769131
"243","Idaho","83,569",243,13,"USA",2014,53721.993268102,18240285.3694935
"244","Idaho","83,569",244,13,"USA",2003,38115.7095692542,12020131.5072165
