"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",11,2008,171906.11239943115,66697815.047659375
"USA",12,2008,661.3780583678453,314283.9699357187
"USA",13,2008,119977.75560127434,36386373.100511275
"USA",14,2008,738.5677230502026,218527.73393859804
"USA",15,2008,1278.719284527164,384542.6033076887
"USA",16,2008,270.659658785448,66384.28799417603
"USA",17,2008,735.8898898642994,150345.1505116572
"USA",18,2008,17695.36973953823,6066873.415289723
"USA",19,2008,106081.86440232211,44930627.548680834
"USA",20,2008,56464.868790714856,16012221.47745931
"USA",21,2008,2722.8050593201847,968063.7698515664
"USA",22,2008,2469.552420134969,895182.3718437435
"USA",23,2008,31282.011209732816,7359323.853411669
"USA",24,2008,37863.46077335228,7836317.101782984
"USA",25,2008,140397.65420670254,54474807.946289115
"USA",26,2008,19119.572083726365,5451719.297932037
"USA",27,2008,108643.65233795757,30235976.96434719
"USA",28,2008,254.6379555278436,60612.197883433095
"USA",29,2008,2110.1685933951553,417643.3190903983
"USA",30,2008,9721.032584181921,3408832.4592233584
"USA",31,2008,1138.2603402791426,351225.1004017598
"USA",32,2008,6905.693705532942,1398200.7976573515
"USA",33,2008,6536.955724146758,2075336.9913319885
"USA",34,2008,102818.05818638865,35982236.06519646
"USA",35,2008,774.9380376481772,147683.90865640112
"USA",36,2008,8570.181769213148,2856152.4254544377
"USA",37,2008,26082.759852067822,8247383.437522575
"USA",38,2008,85994.13992127552,77127793.22013433
"USA",39,2008,13226.907725791134,4350444.974836423
"USA",40,2008,394.8511301016959,132929.2247149992
"USA",41,2008,91049.25766218938,36954948.19466375
"USA",42,2008,5233.940180795722,1701846.7621513987
"USA",43,2008,39045.678067413355,13128391.825013284
"USA",44,2008,107469.20758447795,38076192.807364516
"USA",45,2008,5076.38350454824,1557851.8920984848
"USA",46,2008,2468.6517852969196,859712.5899429373
"USA",47,2008,66894.02843013672,24855439.89998539
"USA",48,2008,87737.93117154464,55509075.26631367
"USA",49,2008,12800.300441984205,4534499.4939947305
"USA",50,2008,20329.55814615877,4740335.393902271
"USA",51,2008,30180.74674831305,8605191.13300992
"USA",1,2009,119821.47009494234,47722204.63511618
"USA",2,2009,140696.85199595755,14695527.148341225
"USA",3,2009,2506.6525296715345,647537.016163759
"USA",4,2009,90059.99243810122,36654064.550328866
"USA",5,2009,114222.08051891255,63086410.764516026
"USA",6,2009,7191.781256989822,2391340.9303030367
"USA",7,2009,604.2059502457251,217469.29941370047
"USA",8,2009,552.9627078129821,213765.81797170566
"USA",9,2009,1.7449108922698748,662.8555089497485
"USA",10,2009,84790.9576661978,27996937.250184536
"USA",11,2009,130373.18896968487,52194463.244365774
"USA",12,2009,467.5505195703957,222249.9580066637
"USA",13,2009,25548.16307778739,10794424.079419782
"USA",14,2009,1260.7614860200224,397368.4104893525
"USA",15,2009,1184.7902098712063,365701.1689415272
"USA",16,2009,243.18026771787655,61552.10233080815
"USA",17,2009,459.76171635791707,95529.37146905111
"USA",18,2009,12423.83637506666,4314305.354634451
"USA",19,2009,92605.98942092579,39909545.266444586
"USA",20,2009,42331.423202138925,12376825.773809882
"USA",21,2009,2446.770655249977,906369.0839617433
"USA",22,2009,1531.6722969024465,588749.1090877956
"USA",23,2009,29398.940267492148,7079079.3509491095
"USA",24,2009,24282.778589668436,5137174.280561046
"USA",25,2009,95907.63780265771,37714367.62978078
"USA",26,2009,28706.470396093933,8764841.0411013
"USA",27,2009,25470.38794215743,9699834.573612904
"USA",28,2009,241.16852974672588,53761.272015635914
"USA",29,2009,1405.8263081645334,319302.51785613096
"USA",30,2009,6615.655090643322,2305375.689017027
"USA",31,2009,926.1003084793379,284834.1522714069
"USA",32,2009,1462.0366529985424,486077.8517337602
"USA",33,2009,5029.770344889507,1652258.4894148526
"USA",34,2009,70776.76699260912,26809776.42784124
"USA",35,2009,106.31145942976971,20481.37100900083
"USA",36,2009,5950.581222593004,1993924.2875489194
"USA",37,2009,21288.25013700724,6266590.975857018
"USA",38,2009,61502.541819495076,62727885.64169819
"USA",39,2009,11620.34473800295,3881063.9772188454
"USA",40,2009,199.83395956054554,67109.48784438377
"USA",41,2009,63218.93921533472,26143652.53752056
"USA",42,2009,3193.6273452272667,1098634.4643526352
"USA",43,2009,23114.48706335556,7874324.951097879
"USA",44,2009,91612.18506066642,33176561.356733073
"USA",45,2009,7178.058474384159,1809119.8138455022
"USA",46,2009,2505.0610870439914,851434.1186204897
"USA",47,2009,56403.08326080416,21889404.244387046
